Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to experiments/RL/course_project/runs/ppo_imitation_bugfix_1_5M/tensorboard/ppo/PPO_1
---------------------------------
| rollout/           |          |
|    value_loss           | 0.0214      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.46e+03    |
|    ep_rew_mean          | 532         |
| time/                   |             |
|    fps                  | 1131        |
|    iterations           | 356         |
|    time_elapsed         | 644         |
|    total_timesteps      | 729088      |
| train/                  |             |
|    approx_kl            | 0.032854896 |
|    clip_fraction        | 0.369       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.30834997  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0417     |
|    n_updates            | 3550        |
|    policy_gradient_loss | -0.0466     |
|    std                  | 0.694       |
|    value_loss           | 0.0109      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.57e+03    |
|    ep_rew_mean          | 558         |
| time/                   |             |
|    fps                  | 1132        |
|    iterations           | 357         |
|    time_elapsed         | 645         |
|    total_timesteps      | 731136      |
| train/                  |             |
|    approx_kl            | 0.029055161 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.6       |
|    explained_variance   | 0.58094716  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.053      |
|    n_updates            | 3560        |
|    policy_gradient_loss | -0.0385     |
|    std                  | 0.693       |
|    value_loss           | 0.00913     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.58e+03    |
|    ep_rew_mean          | 562         |
| time/                   |             |
|    fps                  | 1132        |
|    iterations           | 358         |
|    time_elapsed         | 647         |
|    total_timesteps      | 733184      |
| train/                  |             |
|    approx_kl            | 0.029152134 |
|    clip_fraction        | 0.331       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.6       |
|    explained_variance   | 0.95214385  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00672     |
|    n_updates            | 3570        |
|    policy_gradient_loss | -0.028      |
|    std                  | 0.689       |
|    value_loss           | 0.139       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.58e+03    |
|    ep_rew_mean          | 562         |
| time/                   |             |
|    fps                  | 1132        |
|    iterations           | 359         |
|    time_elapsed         | 649         |
|    total_timesteps      | 735232      |
| train/                  |             |
|    approx_kl            | 0.037468396 |
|    clip_fraction        | 0.367       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.5       |
|    explained_variance   | 0.93246895  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.225       |
|    n_updates            | 3580        |
|    policy_gradient_loss | -0.0276     |
|    std                  | 0.687       |
|    value_loss           | 0.763       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.59e+03   |
|    ep_rew_mean          | 566        |
| time/                   |            |
|    fps                  | 1131       |
|    iterations           | 360        |
|    time_elapsed         | 651        |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.0346638  |
|    clip_fraction        | 0.384      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.5      |
|    explained_variance   | 0.12700504 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0414    |
|    n_updates            | 3590       |
|    policy_gradient_loss | -0.0394    |
|    std                  | 0.686      |
|    value_loss           | 0.0218     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.59e+03    |
|    ep_rew_mean          | 566         |
| time/                   |             |
|    fps                  | 1131        |
|    iterations           | 361         |
|    time_elapsed         | 653         |
